time_s,dist_m,vel_ms,accel_ms2
1.5959,-0.0027,-0.0025,-0.0005
1.6070,-0.0028,-0.0023,-0.0000
1.6182,-0.0028,-0.0005,0.0015
1.6294,-0.0028,-0.0005,0.0030
1.6405,-0.0028,-0.0023,0.0045
1.6517,-0.0028,-0.0025,0.0061
1.6628,-0.0028,-0.0027,0.0076
1.6740,-0.0029,-0.0037,0.0091
1.6852,-0.0029,-0.0046,0.0106
1.6963,-0.0030,-0.0052,0.0121
1.7075,-0.0030,-0.0046,0.0136
1.7186,-0.0031,-0.0040,0.0152
1.7298,-0.0031,-0.0043,0.0167
1.7410,-0.0032,-0.0025,0.0182
1.7521,-0.0032,0.0000,0.0197
1.7633,-0.0032,-0.0000,0.0212
1.7744,-0.0032,0.0000,0.0227
1.7856,-0.0032,-0.0001,0.0243
1.7968,-0.0032,-0.0020,0.0258
1.8079,-0.0032,-0.0018,0.0273
1.8191,-0.0032,-0.0001,0.0271
1.8302,-0.0032,0.0000,0.0269
1.8414,-0.0032,-0.0000,0.0267
1.8526,-0.0032,0.0000,0.0265
1.8637,-0.0032,-0.0000,0.0263
1.8749,-0.0032,0.0000,0.0261
1.8860,-0.0032,-0.0000,0.0259
1.8972,-0.0032,0.0000,0.0257
1.9084,-0.0032,-0.0000,0.0255
1.9195,-0.0032,0.0000,0.0253
1.9307,-0.0032,-0.0000,0.0252
1.9418,-0.0032,-0.0000,0.0250
1.9530,-0.0032,-0.0001,0.0248
1.9642,-0.0032,0.0005,0.0246
1.9753,-0.0032,0.0030,0.0244
1.9865,-0.0032,0.0049,0.0242
1.9976,-0.0031,0.0075,0.0240
2.0088,-0.0030,0.0111,0.0238
2.0200,-0.0029,0.0123,0.0212
2.0311,-0.0027,0.0137,0.0186
2.0423,-0.0026,0.0145,0.0161
2.0534,-0.0024,0.0136,0.0135
2.0646,-0.0023,0.0118,0.0109
2.0758,-0.0021,0.0098,0.0083
2.0869,-0.0020,0.0101,0.0057
2.0981,-0.0019,0.0103,0.0032
2.1092,-0.0018,0.0102,0.0006
2.1204,-0.0017,0.0102,-0.0020
2.1316,-0.0016,0.0104,-0.0046
2.1427,-0.0015,0.0123,-0.0072
2.1539,-0.0013,0.0115,-0.0097
2.1650,-0.0012,0.0100,-0.0123
2.1762,-0.0011,0.0109,-0.0149
2.1874,-0.0010,0.0104,-0.0175
2.1985,-0.0008,0.0097,-0.0201
2.2097,-0.0007,0.0092,-0.0226
2.2208,-0.0006,0.0072,-0.0223
2.2320,-0.0006,0.0048,-0.0220
2.2432,-0.0005,0.0032,-0.0217
2.2543,-0.0005,0.0015,-0.0214
2.2655,-0.0005,0.0009,-0.0211
2.2766,-0.0005,0.0022,-0.0207
2.2878,-0.0005,0.0012,-0.0204
2.2990,-0.0005,-0.0002,-0.0201
2.3101,-0.0005,0.0001,-0.0198
2.3213,-0.0005,-0.0000,-0.0195
2.3324,-0.0005,-0.0000,-0.0192
2.3436,-0.0005,0.0000,-0.0188
2.3548,-0.0005,-0.0000,-0.0185
2.3659,-0.0005,0.0000,-0.0182
2.3771,-0.0005,-0.0000,-0.0179
2.3882,-0.0005,0.0000,-0.0176
2.3994,-0.0005,-0.0000,-0.0173
2.4106,-0.0005,-0.0000,-0.0169
2.4217,-0.0005,0.0000,-0.0163
2.4329,-0.0005,-0.0000,-0.0156
2.4440,-0.0005,0.0000,-0.0150
2.4552,-0.0005,-0.0000,-0.0143
2.4664,-0.0005,0.0000,-0.0137
2.4775,-0.0005,-0.0000,-0.0130
2.4887,-0.0005,-0.0000,-0.0124
