timestamp_us,angle_counts,magnet_ok
100700,2923,1
104604,2855,1
108480,2782,1
112200,2712,1
115916,2638,1
119628,2564,1
123344,2484,1
127064,2403,1
130780,2313,1
134496,2224,1
138208,2128,1
141924,2035,1
145640,1942,1
149352,1846,1
153068,1754,1
156784,1664,1
160492,1580,1
164208,1498,1
167920,1423,1
171636,1351,1
175352,1282,1
179064,1219,1
182780,1158,1
186496,1101,1
190204,1046,1
193920,993,1
197620,937,1
201328,884,1
205036,832,1
208740,779,1
212452,729,1
216160,678,1
219868,626,1
223576,577,1
227276,526,1
230988,476,1
234696,429,1
238396,373,1
242104,318,1
245812,264,1
249520,210,1
253228,160,1
256928,109,1
260636,63,1
264348,18,1
268060,4067,1
271780,4022,1
275496,3976,1
279212,3935,1
282928,3894,1
286640,3857,1
290356,3822,1
294072,3785,1
297780,3751,1
301496,3719,1
305212,3688,1
308928,3655,1
312644,3626,1
316352,3595,1
320068,3564,1
323784,3534,1
327492,3501,1
331208,3468,1
334924,3432,1
338640,3396,1
342356,3360,1
346064,3323,1
349780,3282,1
353496,3242,1
357208,3200,1
360924,3156,1
364640,3110,1
368356,3059,1
372072,3008,1
375780,2951,1
379496,2890,1
383212,2823,1
386920,2756,1
390636,2686,1
394352,2609,1
398060,2530,1
401776,2447,1
405484,2360,1
409200,2264,1
412916,2160,1
416628,2058,1
420344,1951,1
424060,1852,1
427772,1751,1
431488,1656,1
435204,1563,1
438920,1476,1
442636,1393,1
446348,1314,1
450064,1241,1
453780,1171,1
457492,1107,1
461208,1043,1
464924,984,1
468632,923,1
472340,867,1
476040,814,1
479748,759,1
483456,709,1
487164,658,1
490872,606,1
494576,555,1
498284,505,1
501996,458,1
505700,403,1
509408,343,1
513116,290,1
516824,235,1
520536,176,1
524240,119,1
527948,61,1
531656,4,1
535356,4041,1
539072,3980,1
542788,3922,1
546504,3861,1
550220,3802,1
553928,3741,1
557644,3685,1
561360,3628,1
565072,3566,1
568788,3504,1
572504,3439,1
576220,3377,1
579936,3314,1
583644,3253,1
587360,3191,1
591080,3130,1
594788,3065,1
598504,2996,1
602220,2924,1
605928,2846,1
609644,2769,1
613352,2686,1
617068,2605,1
620784,2518,1
624496,2429,1
628212,2335,1
631928,2233,1
635636,2128,1
639352,2019,1
643064,1918,1
646784,1814,1
650500,1718,1
654212,1626,1
657928,1537,1
661644,1454,1
665356,1372,1
669072,1301,1
672788,1232,1
676504,1169,1
680220,1104,1
683928,1044,1
687644,988,1
691352,929,1
695056,873,1
698764,817,1
702472,764,1
706180,711,1
709888,657,1
713592,607,1
717300,555,1
721008,508,1
724716,463,1
728424,409,1
732128,354,1
735836,301,1
739544,247,1
743244,193,1
746952,138,1
750660,86,1
754368,34,1
758076,4076,1
761788,4024,1
765504,3970,1
769224,3918,1
772936,3867,1
776652,3816,1
780368,3768,1
784088,3718,1
787804,3671,1
791516,3624,1
795232,3579,1
798948,3533,1
802660,3488,1
806376,3441,1
810092,3399,1
813804,3356,1
817520,3312,1
821228,3270,1
824944,3229,1
828660,3188,1
832368,3147,1
836084,3106,1
839800,3062,1
843512,3021,1
847232,2980,1
850948,2939,1
854664,2897,1
858380,2853,1
862092,2810,1
865808,2766,1
869524,2722,1
873232,2676,1
876948,2629,1
880664,2580,1
884380,2526,1
888096,2473,1
891808,2414,1
895524,2352,1
899240,2279,1
902952,2208,1
906668,2131,1
910384,2049,1
914100,1963,1
917816,1872,1
921528,1781,1
925248,1683,1
928964,1586,1
932676,1488,1
936392,1393,1
940108,1298,1
943824,1208,1
947540,1118,1
951252,1029,1
954972,939,1
958680,843,1
962384,748,1
966092,650,1
969800,555,1
973508,462,1
977216,367,1
980916,266,1
984624,167,1
988332,64,1
992040,4066,1
995756,3976,1
999472,3893,1
1003188,3812,1
1006912,3739,1
1010624,3671,1
1014348,3612,1
1018072,3550,1
1021784,3490,1
1025508,3430,1
1029232,3369,1
1032940,3315,1
1036664,3261,1
1040376,3209,1
1044100,3158,1
1047824,3110,1
1051536,3060,1
1055260,3013,1
1058984,2964,1
1062696,2915,1
1066420,2863,1
1070144,2811,1
1073856,2755,1
1077584,2702,1
1081296,2647,1
1085020,2593,1
1088748,2535,1
1092460,2475,1
1096184,2410,1
1099908,2344,1
1103620,2275,1
1107344,2203,1
1111068,2129,1
1114792,2056,1
1118516,1980,1
1122228,1904,1
1125952,1826,1
1129676,1748,1
1133384,1665,1
1137108,1587,1
1140832,1508,1
1144540,1430,1
1148264,1354,1
1151972,1275,1
1155696,1199,1
1159420,1122,1
1163128,1047,1
1166852,966,1
1170568,886,1
1174276,803,1
1177992,715,1
1181708,625,1
1185424,534,1
1189140,436,1
1192852,332,1
1196572,228,1
1200288,117,1
1204000,12,1
1207716,3998,1
1211440,3896,1
1215164,3792,1
1218888,3697,1
1222600,3603,1
1226324,3515,1
1230048,3428,1
1233760,3345,1
1237484,3263,1
1241208,3186,1
1244920,3111,1
1248644,3039,1
1252360,2966,1
1256084,2896,1
1259808,2820,1
1263520,2748,1
1267244,2676,1
1270968,2605,1
1274680,2533,1
1278404,2454,1
1282128,2373,1
1285836,2285,1
1289560,2195,1
1293268,2098,1
1296992,2001,1
1300716,1898,1
1304424,1796,1
1308148,1690,1
1311872,1588,1
1315584,1486,1
1319308,1389,1
