timestamp_us,angle_counts,magnet_ok
100700,1559,1
104604,1559,1
108476,1559,1
112192,1559,1
115908,1559,1
119620,1559,1
123336,1559,1
127056,1559,1
130776,1559,1
134492,1559,1
138204,1559,1
141920,1559,1
145640,1559,1
149352,1559,1
153068,1559,1
156784,1559,1
160496,1559,1
164212,1559,1
167924,1559,1
171640,1559,1
175356,1559,1
179064,1559,1
182780,1559,1
186496,1559,1
190208,1559,1
193924,1559,1
197640,1559,1
201356,1559,1
205072,1559,1
208780,1559,1
212496,1559,1
216212,1559,1
219924,1559,1
223640,1559,1
227356,1559,1
231072,1559,1
234788,1559,1
238496,1559,1
242212,1559,1
245928,1559,1
249640,1559,1
253360,1559,1
257076,1559,1
260792,1559,1
264508,1559,1
268220,1559,1
271936,1559,1
275652,1559,1
279364,1559,1
283080,1559,1
286796,1559,1
290512,1559,1
294228,1559,1
297936,1559,1
301656,1559,1
305372,1559,1
309084,1559,1
312800,1559,1
316516,1559,1
320232,1559,1
323948,1559,1
327656,1559,1
331372,1559,1
335088,1559,1
338800,1559,1
342516,1559,1
346232,1559,1
349940,1559,1
353656,1559,1
357364,1559,1
361080,1559,1
364796,1559,1
368508,1559,1
372228,1559,1
375944,1559,1
379656,1559,1
383376,1559,1
387092,1559,1
390808,1559,1
394524,1559,1
398236,1559,1
401952,1559,1
405672,1559,1
409380,1559,1
413096,1559,1
416812,1559,1
420528,1559,1
424244,1559,1
427956,1559,1
431672,1559,1
435388,1559,1
439100,1559,1
442816,1559,1
446532,1559,1
450252,1559,1
453968,1559,1
457680,1559,1
461396,1559,1
465112,1559,1
468820,1559,1
472536,1559,1
476252,1559,1
479968,1559,1
483684,1559,1
487396,1559,1
491112,1559,1
494828,1559,1
498540,1559,1
502260,1559,1
505980,1559,1
509692,1559,1
513412,1559,1
517128,1559,1
520844,1559,1
524560,1559,1
528272,1559,1
531992,1559,1
535708,1559,1
539420,1559,1
543136,1559,1
546856,1559,1
550572,1559,1
554288,1559,1
558000,1559,1
561716,1559,1
565432,1559,1
569144,1559,1
572860,1559,1
576576,1559,1
580292,1559,1
584008,1559,1
587720,1559,1
591436,1559,1
595152,1559,1
598864,1559,1
602580,1559,1
606296,1559,1
610012,1559,1
613728,1559,1
617436,1559,1
621156,1559,1
624872,1559,1
628584,1559,1
632300,1559,1
636020,1559,1
639732,1559,1
643448,1559,1
647160,1559,1
650876,1559,1
654592,1559,1
658300,1559,1
662016,1559,1
665732,1559,1
669444,1559,1
673160,1559,1
676876,1559,1
680592,1559,1
684308,1559,1
688016,1559,1
691732,1559,1
695452,1559,1
699164,1559,1
702880,1559,1
706596,1559,1
710312,1559,1
714028,1559,1
717740,1559,1
721456,1559,1
725172,1559,1
728880,1559,1
732596,1559,1
736312,1559,1
740028,1559,1
743744,1559,1
747456,1559,1
751172,1559,1
754888,1559,1
758600,1559,1
762316,1559,1
766032,1559,1
769752,1559,1
773468,1559,1
777176,1559,1
780896,1559,1
784612,1559,1
788324,1559,1
792040,1559,1
795756,1559,1
799464,1559,1
803180,1559,1
806892,1559,1
810608,1559,1
814324,1559,1
818032,1559,1
821748,1559,1
825464,1559,1
829172,1559,1
832888,1559,1
836600,1559,1
840320,1559,1
844036,1559,1
847744,1559,1
851460,1559,1
855176,1559,1
858884,1559,1
862600,1559,1
866316,1559,1
870032,1559,1
873748,1559,1
877460,1559,1
881176,1559,1
884892,1559,1
888600,1559,1
892316,1559,1
896032,1559,1
899748,1559,1
903464,1559,1
907176,1559,1
910892,1559,1
914608,1559,1
918320,1559,1
922036,1559,1
925752,1559,1
929468,1559,1
933184,1559,1
936896,1559,1
940612,1559,1
944328,1559,1
948036,1559,1
951752,1559,1
955468,1559,1
959184,1559,1
962904,1559,1
966616,1559,1
970332,1559,1
974048,1559,1
977756,1559,1
981472,1559,1
985188,1559,1
988904,1559,1
992620,1559,1
996332,1559,1
1000048,1559,1
1003772,1559,1
1007480,1559,1
1011204,1559,1
1014928,1559,1
1018636,1559,1
1022360,1559,1
1026088,1559,1
1029812,1559,1
1033536,1559,1
1037248,1559,1
1040972,1559,1
1044696,1559,1
1048408,1559,1
1052132,1560,1
1055856,1560,1
1059564,1560,1
1063288,1560,1
1067000,1560,1
1070724,1560,1
1074448,1560,1
1078156,1560,1
1081880,1560,1
1085604,1560,1
1089312,1560,1
1093036,1560,1
1096760,1560,1
1100484,1561,1
1104208,1560,1
1107916,1561,1
1111640,1560,1
1115364,1561,1
1119072,1560,1
1122796,1560,1
1126520,1560,1
1130228,1560,1
1133952,1560,1
1137668,1561,1
1141392,1561,1
1145116,1561,1
1148824,1561,1
1152548,1561,1
1156272,1561,1
1159980,1561,1
1163704,1561,1
1167428,1560,1
1171136,1561,1
1174860,1560,1
1178568,1560,1
1182292,1560,1
1186016,1560,1
1189728,1560,1
1193452,1560,1
1197176,1560,1
1200888,1559,1
1204612,1559,1
1208328,1559,1
1212052,1559,1
1215780,1559,1
1219488,1559,1
1223212,1559,1
1226936,1559,1
1230644,1559,1
1234368,1559,1
1238092,1559,1
1241804,1559,1
1245528,1559,1
1249236,1559,1
1252960,1559,1
1256684,1559,1
1260396,1559,1
1264120,1559,1
1267844,1559,1
1271552,1559,1
1275276,1559,1
1278996,1559,1
1282724,1559,1
1286448,1559,1
1290156,1559,1
1293880,1559,1
1297604,1559,1
1301312,1559,1
1305036,1559,1
1308760,1559,1
1312472,1559,1
1316196,1559,1
1319904,1559,1
1323632,1559,1
1327356,1559,1
1331068,1559,1
1334792,1559,1
1338516,1559,1
1342228,1559,1
1345952,1559,1
1349676,1559,1
1353400,1559,1
1357124,1559,1
1360832,1559,1
1364556,1559,1
1368280,1559,1
1371988,1559,1
1375712,1559,1
1379436,1559,1
1383144,1559,1
1386868,1559,1
1390576,1559,1
1394300,1559,1
1398024,1559,1
1401736,1559,1
1405464,1559,1
1409188,1559,1
1412900,1559,1
1416624,1559,1
1420348,1559,1
1424072,1559,1
1427796,1559,1
1431508,1559,1
1435232,1559,1
1438956,1559,1
1442664,1559,1
1446388,1559,1
1450112,1559,1
1453824,1559,1
1457548,1559,1
1461264,1559,1
1464988,1559,1
1468712,1559,1
1472420,1559,1
1476144,1559,1
1479868,1559,1
1483580,1559,1
1487304,1559,1
1491028,1559,1
1494740,1559,1
1498464,1559,1
1502172,1559,1
1505896,1559,1
1509620,1559,1
1513332,1559,1
1517056,1559,1
1520784,1559,1
1524496,1559,1
1528220,1559,1
1531944,1559,1
1535668,1559,1
1539392,1559,1
1543104,1559,1
1546828,1559,1
1550552,1559,1
1554264,1559,1
1557988,1559,1
1561712,1559,1
1565424,1559,1
1569148,1559,1
1572856,1559,1
1576580,1559,1
1580304,1559,1
1584016,1559,1
1587740,1559,1
1591464,1559,1
1595176,1559,1
1598900,1559,1
1602624,1559,1
1606348,1559,1
1610072,1559,1
1613780,1559,1
1617504,1559,1
1621228,1559,1
1624936,1559,1
1628660,1559,1
1632384,1559,1
1636092,1559,1
1639816,1559,1
1643536,1559,1
1647260,1559,1
1650984,1559,1
1654696,1559,1
1658420,1559,1
1662144,1559,1
1665852,1559,1
1669576,1559,1
1673300,1559,1
1677012,1559,1
1680736,1559,1
1684448,1559,1
1688172,1559,1
1691896,1559,1
1695608,1559,1
1699332,1559,1
1703056,1559,1
1706764,1559,1
1710488,1559,1
1714212,1559,1
1717936,1559,1
1721660,1559,1
1725368,1559,1
1729092,1559,1
1732816,1559,1
1736528,1559,1
1740252,1559,1
1743976,1559,1
1747684,1559,1
1751408,1559,1
1755120,1559,1
1758844,1559,1
1762568,1559,1
1766280,1559,1
1770004,1559,1
1773728,1559,1
1777436,1559,1
1781160,1559,1
1784884,1559,1
1788612,1559,1
1792336,1558,1
1796048,1559,1
1799772,1559,1
1803500,1559,1
1807212,1559,1
1810936,1559,1
1814660,1559,1
1818372,1559,1
1822096,1559,1
1825812,1559,1
1829536,1559,1
1833260,1559,1
1836968,1559,1
1840692,1559,1
1844416,1559,1
1848128,1559,1
1851852,1559,1
1855576,1559,1
1859284,1559,1
1863008,1559,1
1866716,1559,1
1870440,1559,1
1874164,1559,1
1877876,1559,1
1881600,1559,1
1885328,1559,1
1889040,1559,1
